source_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2078648211455026432,5300.3193,5283.162,5317.2783,-0.212,-0.2309,-0.1953,Gaia DR3 2078648211455026432,297.72422409630224,43.52727457583185,1.702,-8.1799,-35.9335,-27.5145,2016,0
2078697552035948800,6033.977,5996.062,6055.2275,-0.3354,-0.3685,-0.3153,Gaia DR3 2078697552035948800,296.9985852389031,42.78196345658958,0.9976,-0.3732,1.1257,-17.9452,2016,0
2078722600285671936,5696.184,5687.004,5707.061,-0.4428,-0.4524,-0.4311,Gaia DR3 2078722600285671936,296.9811403763854,43.209700730072086,1.9409,22.6251,-12.8178,-85.2146,2016,4.143048025312983E-14
2078832551450444032,5562.9243,5511.5186,5593.142,-0.1494,-0.1937,-0.1203,Gaia DR3 2078832551450444032,296.56621648367974,44.105805826810695,1.1123,-3.2,-13.6183,0,2016,7.105427357601002E-15
2078996825361036160,,,,,,,Gaia DR3 2078996825361036160,298.6738127630586,43.79550148649674,2.1216,2.9293,7.917,-16.1666,2016,0
2079005651508492032,6654.1885,6643.271,6666.598,-0.3187,-0.3248,-0.312,Gaia DR3 2079005651508492032,298.81637988955526,43.99801974792027,1.1859,-1.0542,-3.6398,14.6673,2016,7.105427357601002E-15
2079192121810035840,5801.4614,5798.9077,5804.0576,-0.3389,-0.3435,-0.3352,Gaia DR3 2079192121810035840,298.93681583760167,44.85786285,2.5336,-35.3739,-10.9651,-57.1445,2016,4.272647030272741E-14
2079295583282164992,5254.8525,5240.4717,5268.2295,0.1275,0.1126,0.1417,Gaia DR3 2079295583282164992,298.0794444750809,44.74624513254368,2.2916,-1.4364,-20.3407,-16.8319,2016,4.280006717610229E-14
2079368391569401600,5857.3047,5847.807,5870.0327,-0.2934,-0.3024,-0.2796,Gaia DR3 2079368391569401600,297.7119319948975,45.26198669424677,1.6111,10.7043,12.4527,-57.7114,2016,0
2079695496278608896,5983.892,5962.1123,6003.6216,-0.3859,-0.4073,-0.3701,Gaia DR3 2079695496278608896,296.29067722028293,44.42322787879513,3.5043,19.5375,-5.3911,6.0967,2016,0
2079807646464016256,4769.4673,4758.201,4788.0703,-0.5965,-0.6292,-0.5633,Gaia DR3 2079807646464016256,295.9049785301713,45.405429512866995,1.1279,-4.6399,-0.2254,0,2016,4.053653842887861E-14
2079880695265507328,5655.6826,5650.838,5666.93,-0.1178,-0.1226,-0.1086,Gaia DR3 2079880695265507328,295.09024061889437,45.081102704345824,1.866,-1.1875,-12.7613,-11.1508,2016,0
2079885608708649344,5774.453,5769.9595,5778.6836,-0.5294,-0.5346,-0.5232,Gaia DR3 2079885608708649344,294.97353226596476,45.213687190554516,2.0378,4.9203,3.3235,24.0249,2016,0
2080246282881778048,4947.7793,4929.69,4968.9487,0.3749,0.3523,0.3974,Gaia DR3 2080246282881778048,297.3160000066129,46.02326425905117,1.2722,3.1895,0.2042,0,2016,0
